Tissue(Primary site),Disease
Pleura,Mesothelial Neoplasms
Pleura,Neuroepitheliomatous Neoplasms
Pleura,Thymic Epithelial Neoplasms
Pleura,Germ Cell Neoplasms
Pleura,Paragangliomas and Glomus Tumors
Pleura,Mature B-cell Lymphomas
Pleura,"Soft Tissue Tumors and Sarcomas, nos"
Prostate,Adenomas and Adenocarcinomas
Prostate,Acinar Cell Neoplasms
Prostate,Ductal and Lobular Neoplasms
Prostate,"Neoplasms, nos"
Prostate,"Epithelial Neoplasms, NOS"
Prostate,"Cystic, Mucinous and Serous Neoplasms"
Prostate,Squamous Cell Neoplasms
Skin,Nevi and Melanomas
Skin,Adenomas and Adenocarcinomas
Skin,Squamous Cell Neoplasms
Skin,Adnexal and Skin Appendage Neoplasms
Skin,Basal Cell Neoplasms
Skin,Ductal and Lobular Neoplasms
Skin,Fibromatous Neoplasms
Skin,"Soft Tissue Tumors and Sarcomas, nos"
Skin,"Neoplasms, nos"
Skin,Neuroepitheliomatous Neoplasms
Soft Tissue,Myomatous Neoplasms
Soft Tissue,Fibromatous Neoplasms
Soft Tissue,Lipomatous Neoplasms
Soft Tissue,"Soft Tissue Tumors and Sarcomas, nos"
Soft Tissue,Blood Vessel Tumors
Soft Tissue,Synovial-like Neoplasms
Soft Tissue,Paragangliomas and Glomus Tumors
Soft Tissue,Complex Mixed and Stromal Neoplasms
Soft Tissue,Myxomatous Neoplasms
Soft Tissue,Granular Cell Tumors and Alveolar Soft Part Sarcomas
Soft Tissue,Neoplasms of histiocytes and accessory lymphoid cells
Soft Tissue,Neuroepitheliomatous Neoplasms
Soft Tissue,Nerve Sheath Tumors
Soft Tissue,Adenomas and Adenocarcinomas
Soft Tissue,Giant Cell Tumors
Soft Tissue,Mature B-cell Lymphomas
Soft Tissue,"Neoplasms, nos"
Stomach,Adenomas and Adenocarcinomas
Stomach,"Neoplasms, nos"
Stomach,"Cystic, Mucinous and Serous Neoplasms"
Stomach,"Epithelial Neoplasms, NOS"
Stomach,Mature B-cell Lymphomas
Stomach,Myomatous Neoplasms
Stomach,Complex Epithelial Neoplasms
Stomach,Lipomatous Neoplasms
Stomach,Neuroepitheliomatous Neoplasms
Stomach,Squamous Cell Neoplasms
Testis,Germ Cell Neoplasms
Testis,Trophoblastic Neoplasms
Testis,Specialized Gonadal Neoplasms
Testis,Mesothelial Neoplasms
Testis,"Neoplasms, nos"
Testis,"Malignant Lymphomas, nos or Diffuse"
Testis,Mature B-cell Lymphomas
Thymus,Thymic Epithelial Neoplasms
Thymus,"Epithelial Neoplasms, NOS"
Thymus,Adenomas and Adenocarcinomas
Thyroid,Adenomas and Adenocarcinomas
Thyroid,"Epithelial Neoplasms, NOS"
Thyroid,Ductal and Lobular Neoplasms
Thyroid,Squamous Cell Neoplasms
Thyroid,"Neoplasms, nos"
Thyroid,Mature B-cell Lymphomas
Uterus,Adenomas and Adenocarcinomas
Uterus,"Cystic, Mucinous and Serous Neoplasms"
Uterus,Complex Mixed and Stromal Neoplasms
Uterus,"Epithelial Neoplasms, NOS"
Uterus,Myomatous Neoplasms
Uterus,"Soft Tissue Tumors and Sarcomas, nos"
Uterus,Trophoblastic Neoplasms
Uterus,"Neoplasms, nos"
Uterus,Complex Epithelial Neoplasms
Uterus,Mesonephromas
Uterus,Neuroepitheliomatous Neoplasms
